epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.2164,1.10802,2.66793,2.63983,1.46352,0.62618,0.48387,0.51903,0.3419,0.61131,0.47301,0.49761,0.31492,1.08799,2.3408,1.83525,1.4932,0.000301591,0.000301591,0.000301591
2,183.778,1.02089,2.19036,1.83132,1.36641,0.58375,0.55007,0.55851,0.35758,0.59435,0.53951,0.53993,0.33054,1.17927,2.21101,1.723,1.58092,0.000597109,0.000597109,0.000597109
3,264.629,0.99227,2.11616,1.60742,1.33882,0.53426,0.57612,0.57939,0.39063,0.5083,0.55641,0.54674,0.34929,1.0867,2.19701,1.77131,1.47293,0.000885128,0.000885128,0.000885128
4,349.313,0.96961,2.05629,1.47186,1.31838,0.60573,0.52837,0.58497,0.36609,0.60049,0.52129,0.56703,0.34591,1.23002,2.32252,1.6302,1.56582,0.000875253,0.000875253,0.000875253
5,442.527,0.9438,1.99491,1.38763,1.29083,0.72779,0.64199,0.71763,0.50042,0.72434,0.62067,0.69988,0.46361,0.98564,1.92631,1.19953,1.36293,0.000864004,0.000864004,0.000864004
6,536.704,0.9164,1.94129,1.30986,1.27851,0.73472,0.63996,0.69735,0.5035,0.74348,0.63118,0.68725,0.46571,0.96132,1.84141,1.17876,1.33159,0.000852756,0.000852756,0.000852756
7,629.802,0.89355,1.87688,1.24467,1.25712,0.71169,0.71522,0.73411,0.53994,0.71021,0.71724,0.73075,0.52117,0.91913,1.70033,1.04402,1.30107,0.000841507,0.000841507,0.000841507
8,722.935,0.879,1.87039,1.21004,1.24951,0.72437,0.70107,0.7679,0.53736,0.73664,0.69795,0.76464,0.50114,0.99924,1.949,1.00065,1.35108,0.000830258,0.000830258,0.000830258
9,812.529,0.85214,1.79893,1.16166,1.22719,0.74383,0.69973,0.76185,0.56719,0.73226,0.688,0.73982,0.52444,0.88972,1.90125,0.98661,1.27285,0.000819009,0.000819009,0.000819009
10,903.843,0.8371,1.7382,1.09555,1.21482,0.73623,0.7097,0.7706,0.56014,0.72284,0.70687,0.7535,0.5368,0.9136,1.60303,1.0355,1.28481,0.00080776,0.00080776,0.00080776
11,995.327,0.82945,1.75387,1.09715,1.21041,0.81602,0.72745,0.81585,0.61609,0.8132,0.73152,0.81376,0.58545,0.83324,1.55233,0.85399,1.20125,0.000796511,0.000796511,0.000796511
12,1086.72,0.81291,1.72149,1.06044,1.20183,0.79276,0.7713,0.82418,0.63081,0.7959,0.76807,0.82007,0.60202,0.81566,1.45747,0.81305,1.21409,0.000785262,0.000785262,0.000785262
13,1181.2,0.81513,1.72591,1.04354,1.19906,0.81443,0.75869,0.84103,0.64244,0.81181,0.75398,0.83441,0.62275,0.80875,1.44072,0.80718,1.18165,0.000774013,0.000774013,0.000774013
14,1272.18,0.79346,1.64743,1.00306,1.1839,0.80836,0.75634,0.83671,0.63657,0.80514,0.75738,0.83129,0.60413,0.81529,1.52723,0.8118,1.18783,0.000762765,0.000762765,0.000762765
15,1363.35,0.78499,1.65353,0.98849,1.17847,0.79416,0.74241,0.82483,0.63109,0.79779,0.74268,0.82173,0.61074,0.80211,1.46759,0.84454,1.17716,0.000751516,0.000751516,0.000751516
